Date,Open,High,Low,Close,Adj Close,Volume
2022-01-05,448000.000000,453000.000000,447000.000000,448000.000000,448000.000000,2940
2022-01-06,450500.000000,450500.000000,438500.000000,440000.000000,440000.000000,5466
2022-01-07,440000.000000,451000.000000,440000.000000,448500.000000,448500.000000,3409
2022-01-10,448500.000000,463500.000000,447000.000000,463000.000000,463000.000000,6854
2022-01-11,462500.000000,465000.000000,452500.000000,452500.000000,452500.000000,3839
2022-01-12,454000.000000,460000.000000,452500.000000,453500.000000,453500.000000,2360
2022-01-13,453500.000000,457500.000000,451500.000000,451500.000000,451500.000000,2291
2022-01-14,452500.000000,453000.000000,438000.000000,438500.000000,438500.000000,7008
2022-01-17,438500.000000,441000.000000,437500.000000,438500.000000,438500.000000,2547
2022-01-18,435000.000000,441500.000000,435000.000000,436000.000000,436000.000000,2201
2022-01-19,438500.000000,440500.000000,434500.000000,435000.000000,435000.000000,2834
2022-01-20,437000.000000,440500.000000,435000.000000,439000.000000,439000.000000,1759
2022-01-21,436000.000000,441000.000000,434500.000000,436000.000000,436000.000000,2113
2022-01-24,440000.000000,452000.000000,439500.000000,450000.000000,450000.000000,6987
2022-01-25,451000.000000,453000.000000,441500.000000,443000.000000,443000.000000,5105
2022-01-26,443000.000000,443000.000000,443000.000000,443000.000000,443000.000000,0
2022-01-27,446000.000000,447000.000000,430000.000000,430000.000000,430000.000000,4641
2022-01-28,430500.000000,441000.000000,430500.000000,437500.000000,437500.000000,2747
2022-02-03,437500.000000,449000.000000,437500.000000,443000.000000,443000.000000,2263
2022-02-04,443000.000000,452500.000000,443000.000000,452000.000000,452000.000000,2653
2022-02-07,452000.000000,463500.000000,447000.000000,454500.000000,454500.000000,4896
2022-02-08,454500.000000,454500.000000,454500.000000,454500.000000,454500.000000,0
2022-02-09,454500.000000,454500.000000,454500.000000,454500.000000,454500.000000,0
2022-02-10,457000.000000,462500.000000,456000.000000,460000.000000,460000.000000,3363
2022-02-11,459000.000000,459500.000000,453000.000000,454500.000000,454500.000000,2914
2022-02-14,449000.000000,459000.000000,448000.000000,455500.000000,455500.000000,2977
2022-02-15,455000.000000,462500.000000,450000.000000,459000.000000,459000.000000,3731
2022-02-16,456500.000000,461500.000000,453000.000000,461500.000000,461500.000000,2964
2022-02-17,462000.000000,463000.000000,452000.000000,453500.000000,453500.000000,4370
2022-02-18,452500.000000,456000.000000,450000.000000,451000.000000,451000.000000,3090
2022-02-21,451000.000000,451000.000000,451000.000000,451000.000000,451000.000000,0
2022-02-22,451000.000000,451000.000000,451000.000000,451000.000000,451000.000000,0
2022-02-23,451000.000000,451000.000000,451000.000000,451000.000000,451000.000000,0
2022-02-24,442000.000000,443500.000000,434500.000000,438500.000000,438500.000000,3436
2022-02-25,439000.000000,443000.000000,433500.000000,437500.000000,437500.000000,3962
2022-02-28,437500.000000,437500.000000,437500.000000,437500.000000,437500.000000,0
2022-03-02,433000.000000,435000.000000,432000.000000,433000.000000,433000.000000,3006
2022-03-03,433500.000000,439000.000000,433500.000000,438500.000000,438500.000000,2570
2022-03-04,438500.000000,438500.000000,438500.000000,438500.000000,438500.000000,0
2022-03-07,438000.000000,438000.000000,429500.000000,430500.000000,430500.000000,3716
2022-03-08,429500.000000,431500.000000,424500.000000,424500.000000,424500.000000,3765
2022-03-10,424500.000000,424500.000000,424500.000000,424500.000000,424500.000000,0
2022-03-11,430000.000000,433000.000000,424000.000000,426500.000000,426500.000000,4392
2022-03-14,426500.000000,426500.000000,421000.000000,423000.000000,423000.000000,2859
2022-03-15,423000.000000,423000.000000,423000.000000,423000.000000,423000.000000,0
2022-03-16,422000.000000,423500.000000,419000.000000,423500.000000,423500.000000,2010
2022-03-17,423500.000000,423500.000000,423500.000000,423500.000000,423500.000000,0
2022-03-18,426000.000000,429000.000000,424500.000000,429000.000000,429000.000000,2493
2022-03-21,429000.000000,432000.000000,426000.000000,429500.000000,429500.000000,3069
2022-03-22,429500.000000,435000.000000,429500.000000,433000.000000,433000.000000,2915
2022-03-23,433500.000000,439000.000000,433000.000000,435000.000000,435000.000000,2194
2022-03-24,435000.000000,441000.000000,435000.000000,441000.000000,441000.000000,76468
2022-03-25,441000.000000,446000.000000,439000.000000,446000.000000,446000.000000,3409
2022-03-28,446000.000000,449500.000000,441500.000000,449500.000000,449500.000000,4034
2022-03-29,449500.000000,453000.000000,444000.000000,446000.000000,446000.000000,3677
2022-03-30,451000.000000,451000.000000,447000.000000,447500.000000,447500.000000,2593
2022-03-31,450000.000000,450000.000000,443500.000000,446500.000000,446500.000000,2751
2022-04-01,442500.000000,449500.000000,440500.000000,444500.000000,444500.000000,4055
2022-04-04,443500.000000,459500.000000,441500.000000,459000.000000,459000.000000,6771
2022-04-05,459000.000000,459500.000000,455000.000000,458000.000000,458000.000000,2845
2022-04-06,458000.000000,470500.000000,456500.000000,468000.000000,468000.000000,11277
2022-04-07,470000.000000,474500.000000,465500.000000,471500.000000,471500.000000,8016
2022-04-08,471500.000000,471500.000000,461500.000000,464500.000000,464500.000000,3341
2022-04-11,462500.000000,468500.000000,457500.000000,459500.000000,459500.000000,2976
2022-04-12,459500.000000,461500.000000,452500.000000,461000.000000,461000.000000,2749
2022-04-13,466000.000000,466500.000000,456000.000000,462000.000000,462000.000000,1947
2022-04-14,462500.000000,466000.000000,458000.000000,466000.000000,466000.000000,2389
2022-04-15,457500.000000,460500.000000,456000.000000,457000.000000,457000.000000,2069
2022-04-18,455500.000000,460500.000000,453500.000000,459000.000000,459000.000000,1563
2022-04-19,462000.000000,470000.000000,461000.000000,467500.000000,467500.000000,4446
2022-04-20,465500.000000,479000.000000,461000.000000,475000.000000,475000.000000,8142
2022-04-21,478500.000000,478500.000000,471500.000000,475000.000000,475000.000000,2655
2022-04-22,468500.000000,477000.000000,465000.000000,467000.000000,467000.000000,3153
2022-04-25,481000.000000,485000.000000,470000.000000,474500.000000,474500.000000,13174
2022-04-26,473000.000000,475500.000000,465500.000000,471000.000000,471000.000000,3461
2022-04-27,471000.000000,471000.000000,460500.000000,468000.000000,468000.000000,3413
2022-04-28,463500.000000,468000.000000,462000.000000,468000.000000,468000.000000,2300
2022-04-29,467000.000000,470000.000000,462000.000000,470000.000000,470000.000000,2213
2022-05-02,469500.000000,469500.000000,463000.000000,465000.000000,465000.000000,1485
2022-05-03,463000.000000,465000.000000,456000.000000,456000.000000,456000.000000,2996
2022-05-04,456000.000000,461000.000000,456000.000000,459000.000000,459000.000000,1722
2022-05-06,457500.000000,458000.000000,450500.000000,455500.000000,455500.000000,2420
2022-05-10,445000.000000,450000.000000,438500.000000,449500.000000,449500.000000,4997
2022-05-11,445000.000000,450500.000000,440500.000000,450500.000000,450500.000000,3202
2022-05-12,449000.000000,450000.000000,441000.000000,443500.000000,443500.000000,4805
2022-05-13,448000.000000,453500.000000,440500.000000,453500.000000,453500.000000,3269
2022-05-16,454000.000000,456000.000000,449000.000000,449500.000000,449500.000000,3009
2022-05-17,449500.000000,456000.000000,447000.000000,448500.000000,448500.000000,3047
2022-05-18,448500.000000,451000.000000,440500.000000,443000.000000,443000.000000,3355
2022-05-19,440500.000000,440500.000000,427000.000000,430000.000000,430000.000000,6802
2022-05-20,430000.000000,449500.000000,430000.000000,449500.000000,449500.000000,4461
2022-05-23,449000.000000,454000.000000,445000.000000,454000.000000,454000.000000,3068
2022-05-24,454000.000000,454000.000000,445500.000000,450500.000000,450500.000000,1641
2022-05-25,453000.000000,453000.000000,446000.000000,446500.000000,446500.000000,2871
2022-05-26,442500.000000,448000.000000,440000.000000,440500.000000,440500.000000,2698
2022-05-27,442500.000000,452500.000000,440500.000000,452500.000000,452500.000000,3452
2022-05-30,452500.000000,456500.000000,450500.000000,452500.000000,452500.000000,1640
2022-05-31,452000.000000,454000.000000,443000.000000,443000.000000,443000.000000,3404
2022-06-02,442500.000000,442500.000000,436000.000000,441500.000000,441500.000000,4078
2022-06-03,441000.000000,448500.000000,441000.000000,448500.000000,448500.000000,2031
2022-06-07,448500.000000,448500.000000,439000.000000,440500.000000,440500.000000,2223
2022-06-08,440000.000000,443500.000000,437500.000000,442500.000000,442500.000000,1600
2022-06-09,442500.000000,442500.000000,436000.000000,442000.000000,442000.000000,2968
2022-06-10,437500.000000,441500.000000,436500.000000,440000.000000,440000.000000,1904
2022-06-13,438500.000000,439500.000000,430000.000000,430500.000000,430500.000000,2956
2022-06-14,430000.000000,435500.000000,425000.000000,427500.000000,427500.000000,2766
2022-06-15,431500.000000,436000.000000,426500.000000,431000.000000,431000.000000,2569
2022-06-16,431000.000000,434000.000000,428500.000000,428500.000000,428500.000000,1598
2022-06-17,426500.000000,438500.000000,424000.000000,429000.000000,429000.000000,5754
2022-06-20,440000.000000,440000.000000,426000.000000,429000.000000,429000.000000,2597
2022-06-21,427000.000000,433000.000000,427000.000000,430000.000000,430000.000000,1717
2022-06-22,427500.000000,428000.000000,422500.000000,422500.000000,422500.000000,2453
2022-06-23,423000.000000,429000.000000,422000.000000,422500.000000,422500.000000,3491
2022-06-24,429000.000000,438000.000000,424000.000000,432500.000000,432500.000000,2852
2022-06-27,429000.000000,435000.000000,427000.000000,435000.000000,435000.000000,2509
2022-06-28,435500.000000,435500.000000,427000.000000,431000.000000,431000.000000,1610
2022-06-29,429000.000000,430000.000000,425000.000000,425500.000000,425500.000000,2024
2022-06-30,427000.000000,427500.000000,423000.000000,424000.000000,424000.000000,1373
2022-07-01,427500.000000,431500.000000,425000.000000,429500.000000,429500.000000,2697
2022-07-04,430000.000000,438000.000000,427000.000000,437500.000000,437500.000000,3134
2022-07-05,438000.000000,445000.000000,430500.000000,433000.000000,433000.000000,2935
2022-07-06,431000.000000,436500.000000,427000.000000,430500.000000,430500.000000,3578
2022-07-07,435000.000000,439000.000000,431500.000000,433500.000000,433500.000000,2557
2022-07-08,431500.000000,438000.000000,431500.000000,433500.000000,433500.000000,2256
